voyageid,yearam,rig,shipname,captaina,slaximp,mjselimp,tslavesd,arrport,sla1port,slaarriv,sladvoy,vymrtimp,vymrtrat,slamimp,fate,fate2,fate3,fate4,sladamer,adpsale1,adpsale2,captainb,placcons,placreg,yrcons,yrreg,regarr,regdis1,regdis2,regdis3,regem1,regem2,regisreg,constreg,portdep,datedepa,datedepb,datedepc,crew,crew2,crew3,d1slatra,d1slatrb,d1slatrc,datarr32,datarr33,datarr34,datarr36,datarr37,datarr38,datarr39,datarr40,datarr41,date_buy1,date_leftafr,date_land1,date_land2,date_land3,dlslatra,dlslatrb,dlslatrc,voyage,voy2imp,guns,majbuypt,mjbyptimp,majbyimp,majbyimp1,majselpt,mjslptimp,mjselimp1,national,natinimp,ncar13,ncar15,npprior,ownera,ownerb,ownerc,ownerd,ownere,ownerf,ownerg,ownerh,resistance,slas32,slas36,slas39,sourcea,sourceb,sourcec,sourced,sourcee,tonnage,men1,women1,boy1,girl1,infant1,adult1,child1,male1,female1,adlt1imp,chil1imp,male1imp,feml1imp,slavema1,slavemx1,slavmax1,menrat1,womrat1,boyrat1,girlrat1,malrat1,chilrat1,men3,women3,boy3,girl3,infant3,adult3,child3,male3,female3,adlt3imp,chil3imp,male3imp,feml3imp,slavema3,slavemx3,slavmax3,menrat3,womrat3,boyrat3,girlrat3,malrat3,chilrat3,men7,women7,boy7,girl7,infant7,adult7,child7,male7,female7,slavema7,slavemx7,slavmax7,menrat7,womrat7,boyrat7,girlrat7,malrat7,chilrat7,year5,year10,year25,year100,voyageID2,AFRINFO,Other_Cargo,COMMENTS,filter_$
102494,1743,Sloop,William and Mary,"Burch, John",60,Spanish Americas,60,"Spanish American Mainland, port unspecified", , , , , ,57,Voyage completed as intended,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,Prize (unknown place),Port Royal (Jamaica), ,1740,Spanish Americas, , , ,Jamaica, ,Jamaica,Non-geographical, , , , , ,12, , , , , , , , , , , , , , ,11/4/1743, , , ,4,11,1743, , ,6,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,"Spanish American Mainland, port unspecified",Other,Great Britain,Great Britain, , , ,"Barton, Joseph*", , , , , , , , , , , ,"CO 142/15, ff.42,69", , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , ,dry goods, ,Selected
102495,1743,Sloop,Henry,"Stewart, Andrew",14,Spanish Americas,14,"Spanish American Mainland, port unspecified", , , , , ,14,"Departed an American port with slaves, subsequent fate unknown",Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,New England,Kingston (Jamaica),1736,1742,Spanish Americas, , , ,Jamaica, ,Jamaica,Other North America, , , , , ,16, , , , , , , , , , , , , , ,11/22/1743, , , ,22,11,1743, , ,8,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,"Spanish American Mainland, port unspecified",Other,Great Britain,Great Britain, , , ,"Stewart, Andrew*", , , , , , , , , , , ,"CO 142/15, 42", , , , ,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , ,dry goods, ,Selected
102496,1743,Sloop,Rachell,"Nailor, William",70,Cuba,70,South Keys, , , , , ,67,"Departed an American port with slaves, subsequent fate unknown",Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,Bermuda,Kingston (Jamaica),1735,1743,Cuba, , , ,Jamaica, ,Jamaica,Other British Caribbean, , , , , ,30, , , , , , , , , , , , , , ,11/25/1743, , , ,25,11,1743, , ,10,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,South Keys,Caribbean,Great Britain,Great Britain, , , ,"Nailor, William*", , , , , , , , , , , ,"CO 142/15, 42", , , , ,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , ,dry goods, ,Selected
102497,1743,Ship,Hawk,"Forrest, Thomas",18,Cuba,18,South Keys, , , , , ,17,Voyage completed as intended,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,Prize (unknown place),Kingston (Jamaica), ,1743,Cuba, , , ,Jamaica, ,Jamaica,Non-geographical, , , , , ,10, , , , , , , , , , , , , , ,12/5/1743, , , ,5,12,1743, , ,0,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,South Keys,Caribbean,Great Britain,Great Britain, , , ,"Furnall, Peter*", , , , , , , , , , , ,"CO 142/15, ff.43,70a", , , , ,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , ,dry goods, ,Selected
102498,1743,Sloop,Mary Ann,"Cobb, John",20,Cuba,20,South Keys, , , , , ,19,Voyage completed as intended,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,Bermuda,Bermuda,1738,1742,Cuba, , , ,Jamaica, ,Other British Caribbean,Other British Caribbean, , , , , ,25, , , , , , , , , , , , , , ,12/12/1743, , , ,12,12,1743, , ,18,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,South Keys,Caribbean,Great Britain,Great Britain, , , ,"Spotforth, Samuel*", , , , , , , , , , , ,"CO 142/15, ff.43,69a", , , , ,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , ,dry goods, ,Selected
102499,1743,Sloop,Oglethorp,"Carlisle, William",8,Spanish Circum-Caribbean,8,Rio de la Hacha, , , , , ,8,Voyage completed as intended,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,New York,New York,1735,1738,Spanish Circum-Caribbean, , , ,Jamaica, ,New York,New York, , , , , ,6, , , , , , , , , , , , , , ,12/21/1743, , , ,21,12,1743, , ,5,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,Rio de la Hacha,Spanish Mainland America,Great Britain,Great Britain, , , ,"Franks, Jacob", , , , , , , , , , , ,"CO 142/15, ff.43,70", , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , ,"sugar, rum, fish, flour", ,Selected
102500,1743,Sloop,Diamond,"Ramsay, John",140,Spanish Circum-Caribbean,140,Cartagena, , , , , ,134,Voyage completed as intended,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,Bermuda,Kingston (Jamaica),1789,1743,Spanish Circum-Caribbean, , , ,Jamaica, ,Jamaica,Other British Caribbean, , , , , ,20, , , , , , , , , , , , , , ,12/23/1743, , , ,23,12,1743, , ,8,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,Cartagena,Spanish Mainland America,Great Britain,Great Britain, , , ,"Gitts, Thomas*", , , , , , , , , , , ,"CO 142/15, ff.43,70", , , , ,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , ,no, ,Selected
102501,1743,Sloop,Martha,"Brown, David",50,Spanish Circum-Caribbean,50,Portobelo, , , , , ,48,Voyage completed as intended,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,Prize (unknown place),Kingston (Jamaica), ,1742,Spanish Circum-Caribbean, , , ,Jamaica, ,Jamaica,Non-geographical, , , , , ,20, , , , , , , , , , , , , , ,12/28/1743, , , ,28,12,1743, , ,8,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,Portobelo,Spanish Mainland America,Great Britain,Great Britain, , , ,"Gotherd, Anthony", , , , , , , , , , , ,"CO 142/15, ff.43,68", , , , ,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , ,dry goods, ,Selected
102502,1744,Ship,Princess Mary,"Woods, William",300,Spanish Americas,300,"Spanish American Mainland, port unspecified", , , , , ,286,"Departed an American port with slaves, subsequent fate unknown",Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,River Thames,Bristol,1724,1740,Spanish Americas, , , ,Jamaica, ,England,England, , , , , ,20, , , , , , , , , , , , , , ,1/2/1744, , , ,2,1,1744, , ,12,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,"Spanish American Mainland, port unspecified",Other,Great Britain,Great Britain, , , ,"Phelps, James*", , , , , , , , , , , ,"CO 142/15, 43", , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , ,no, ,Selected
102503,1744,Sloop,Mary and Sarah,"Gould, Michael",8,Jamaica,8,"Spanish American Mainland, port unspecified","Spanish American Mainland, port unspecified", , , , ,8,"Departed an American port with slaves, subsequent fate unknown",Slaves disembarked Americas,Not captured,Delivered slaves for original owners, ,Port Royal (Jamaica), , ,"Maryland, port unspecified",Kingston (Jamaica),1737,1742,Spanish Americas,Spanish Americas,Jamaica, ,Jamaica, ,Jamaica,Maryland, , , , , ,20, , , , , , , ,2,4,1744, , , , ,1/4/1744, ,4/2/1744, ,4,1,1744, , ,6,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,Port Royal (Jamaica),Caribbean,Great Britain,Great Britain, , , ,"Gould, Michael", , , , , , , , , ,4, ,"CO 142/15, 43,82", , , , ,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , ,dry goods, ,Selected
102504,1744,Sloop,Anne,"Cooke, John",150,Spanish Americas,150,"Spanish American Mainland, port unspecified", , , , , ,143,Voyage completed as intended,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,"Virginia, port unspecified",Kingston (Jamaica),1742,1743,Spanish Americas, , , ,Jamaica, ,Jamaica,Virginia, , , , , ,30, , , , , , , , , , , , , , ,1/6/1744, , , ,6,1,1744, , ,12,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,"Spanish American Mainland, port unspecified",Other,Great Britain,Great Britain, , , ,"Cooke, John", , , , , , , , , , , ,"CO 142/15, ff.43,70", , , , ,70, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , ,flour, ,Selected
102505,1744,Schooner,Betsy,"Coleman, Bartholomew",6,Spanish Circum-Caribbean,6,Rio de la Hacha, , , , , ,6,"Departed an American port with slaves, subsequent fate unknown",Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,Bermuda,Philadelphia,1740,1741,Spanish Circum-Caribbean, , , ,Jamaica, ,Pennsylvania,Other British Caribbean, , , , , ,14, , , , , , , , , , , , , , ,1/11/1744, , , ,11,1,1744, , ,2,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,Rio de la Hacha,Spanish Mainland America,Great Britain,Great Britain, , , ,"Onion, Stephen", , , , , , , , , , , ,"CO 142/15, 43", , , , ,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , ,dry goods, ,Selected
102506,1744,Sloop,Dowdale,"Dickson, David",10,Spanish Americas,10,"Spanish American Mainland, port unspecified", , , , , ,10,Voyage completed as intended,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,"Rhode Island, port unspecified",Kingston (Jamaica),1739,1741,Spanish Americas, , , ,Jamaica, ,Jamaica,Rhode Island, , , , , ,12, , , , , , , , , , , , , , ,2/24/1744, , , ,24,2,1744, , ,6,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,"Spanish American Mainland, port unspecified",Other,Great Britain,Great Britain, , , ,"Curtin, John", , , , , , , , , , , ,"CO 142/15, 44, 72", , , , ,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , ,dry goods, ,Selected
102507,1744,Brig,Ann,"Forbes, Alexander",20,Spanish Americas,20,"Spanish American Mainland, port unspecified", , , , , ,19,Voyage completed as intended,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,"South Carolina, port unspecified",New York,1738,1743,Spanish Americas, , , ,Jamaica, ,New York,South Carolina, , , , , ,16, , , , , , , , , , , , , , ,2/27/1744, , , ,27,2,1744, , ,20,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,"Spanish American Mainland, port unspecified",Other,Great Britain,Great Britain, , , ,"Forbes, Alexander*", , , , , , , , , , , ,"CO 142/15, 44, 72", , , , ,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , ,dry goods, ,Selected
102508,1744,Sloop,Leopard,"Watson, James",20,Spanish Americas,20,"Spanish American Mainland, port unspecified", , , , , ,19,Voyage completed as intended,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,Bermuda,Kingston (Jamaica),1741,1743,Spanish Americas, , , ,Jamaica, ,Jamaica,Other British Caribbean, , , , , ,20, , , , , , , , , , , , , , ,3/6/1744, , , ,6,3,1744, , ,8,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,"Spanish American Mainland, port unspecified",Other,Great Britain,Great Britain, , , ,"Gorback, Samuel*", , , , , , , , , , , ,"CO 142/15, 44, 72", , , , ,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , ,dry goods, ,Selected
102509,1744,Sloop,Mary Ann,"Cobb, John",10,Spanish Americas,10,"Spanish American Mainland, port unspecified", , , , , ,10,Voyage completed as intended,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,Bermuda,Bermuda,1738,1742,Spanish Americas, , , ,Jamaica, ,Other British Caribbean,Other British Caribbean, , , , , ,20, , , , , , , , , , , , , , ,3/17/1744, , , ,17,3,1744, , ,20,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,"Spanish American Mainland, port unspecified",Other,Great Britain,Great Britain, , , ,"Spotforth, Samuel*", , , , , , , , , , , ,"CO 142/15, 44, 72", , , , ,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , ,dry goods, ,Selected
102510,1744,Sloop,Mariana,"Bedloe, William",11,Spanish Circum-Caribbean,11,Rio de la Hacha, , , , , ,11,Voyage completed as intended,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,Prize (unknown place),Kingston (Jamaica), ,1743,Spanish Circum-Caribbean, , , ,Jamaica, ,Jamaica,Non-geographical, , , , , ,15, , , , , , , , , , , , , , ,3/31/1744, , , ,31,3,1744, , ,6,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,Rio de la Hacha,Spanish Mainland America,Great Britain,Great Britain, , , ,"Harkman, Mark*", , , , , , , , , , , ,"CO 142/15, 45, 71", , , , ,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , ,dry goods, ,Selected
102511,1744,Sloop,Diamond,"Ramsay, John",145,Spanish Americas,145,"Spanish American Mainland, port unspecified", , , , , ,139,Voyage completed as intended,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,Bermuda,Kingston (Jamaica),1739,1743,Spanish Americas, , , ,Jamaica, ,Jamaica,Other British Caribbean, , , , , ,25, , , , , , , , , , , , , , ,4/18/1744, , , ,18,4,1744, , ,8,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,"Spanish American Mainland, port unspecified",Other,Great Britain,Great Britain, , , ,"Pitts, Thomas*", , , , , , , , , , , ,"CO 142/15, 45, 71", , , , ,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , ,dry goods, ,Selected
102512,1744,Sloop,Griffin,"Crimmon, Robert",1,Rhode Island,1,Providence, , , , , ,1,"Departed an American port with slaves, subsequent fate unknown",Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,Philadelphia,Kingston (Jamaica),1740,1741,Rhode Island, , , ,Jamaica, ,Jamaica,Pennsylvania, , , , , ,6, , , , , , , , , , , , , , ,4/20/1744, , , ,20,4,1744, , ,4,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,Providence,Mainland North America,Great Britain,Great Britain, , , ,"Hunter, David", , , , , , , , , , , ,"CO 142/15, 45", , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , ,"rum, molasses, wine, shoes", ,Selected
102513,1744,Sloop,Rooth,"Parker, Thomas",60,Spanish Circum-Caribbean,60,Portobelo, , , , , ,57,Voyage completed as intended,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,Bermuda,Kingston (Jamaica),1732,1743,Spanish Circum-Caribbean, , , ,Jamaica, ,Jamaica,Other British Caribbean, , , , , ,20, , , , , , , , , , , , , , ,4/28/1744, , , ,28,4,1744, , ,8,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,Portobelo,Spanish Mainland America,Great Britain,Great Britain, , , ,"Robertson, Charles*", , , , , , , , , , , ,"CO 142/15, 46, 73", , , , ,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , ,dry goods, ,Selected
102514,1744,Sloop,Diamond,"Ramsay, John",130,Spanish Americas,130,"Spanish American Mainland, port unspecified", , , , , ,124,Voyage completed as intended,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,Bermuda,Kingston (Jamaica),1739,1743,Spanish Americas, , , ,Jamaica, ,Jamaica,Other British Caribbean, , , , , ,30, , , , , , , , , , , , , , ,6/1/1744, , , ,1,6,1744, , ,8,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,"Spanish American Mainland, port unspecified",Other,Great Britain,Great Britain, , , ,"Pitts, Thomas*", , , , , , , , , , , ,"CO 142/15, 47, 72", , , , ,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , ,dry goods, ,Selected
102515,1744,Schooner,Louisa,"Stewart, Andrew",60,Spanish Americas,60,"Spanish American Mainland, port unspecified", , , , , ,57,"Departed an American port with slaves, subsequent fate unknown",Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,"Virginia, port unspecified",Williamsburg,1742,1742,Spanish Americas, , , ,Jamaica, ,Virginia,Virginia, , , , , ,30, , , , , , , , , , , , , , ,6/8/1744, , , ,8,6,1744, , ,8,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,"Spanish American Mainland, port unspecified",Other,Great Britain,Great Britain, , , ,"Gray, Thomas*", , , , , , , , , , , ,"CO 142/15, 47", , , , ,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , ,no, ,Selected
102516,1744,Sloop,Seahorse,"Havelin, L",4,Cuba,4,South Keys, , , , , ,4,"Departed an American port with slaves, subsequent fate unknown",Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,New England,Kingston (Jamaica),1739,1743,Cuba, , , ,Jamaica, ,Jamaica,Other North America, , , , , ,15, , , , , , , , , , , , , , ,8/31/1744, , , ,31,8,1744, , ,10,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,South Keys,Caribbean,Great Britain,Great Britain, , , ,"Barjeau, John*", , , , , , , , , , , ,"CO 142/15, 49", , , , ,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , ,dry goods, ,Selected
102517,1744,Sloop,Malta,"Hyndinan, Thomas",20,Cuba,20,South Keys, , , , , ,19,"Departed an American port with slaves, subsequent fate unknown",Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,"Virginia, port unspecified",Glasgow,1742,1743,Cuba, , , ,Jamaica, ,Scotland,Virginia, , , , , ,4, , , , , , , , , , , , , , ,8/31/1744, , , ,31,8,1744, , ,0,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,South Keys,Caribbean,Great Britain,Great Britain, , , ,"Kerr, Patrick", , , , , , , , , , , ,"CO 142/15, 49", , , , ,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , ,dry goods, ,Selected
102518,1744,Schooner,Louisa,"Stewart, Andrew",40,Cuba,40,South Keys, , , , , ,38,"Departed an American port with slaves, subsequent fate unknown",Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,Prize (unknown place),Williamsburg, ,1742,Cuba, , , ,Jamaica, ,Virginia,Non-geographical, , , , , ,10, , , , , , , , , , , , , , ,8/31/1744, , , ,31,8,1744, , ,6,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,South Keys,Caribbean,Great Britain,Great Britain, , , ,"Gray, Thomas*", , , , , , , , , , , ,"CO 142/15, 49", , , , ,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , ,dry goods, ,Selected
102519,1744,Ship,King David,"Shaiman, Rand",50,Cuba,50,South Keys, , , , , ,48,"Departed an American port with slaves, subsequent fate unknown",Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,Boston,Kingston (Jamaica),1735,1743,Cuba, , , ,Jamaica, ,Jamaica,Massachusetts, , , , , ,16, , , , , , , , , , , , , , ,8/31/1744, , , ,31,8,1744, , ,6,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,South Keys,Caribbean,Great Britain,Great Britain, , , ,"Mendes da Costa, Isaac*", , , , , , , , , , , ,"CO 142/15, 49", , , , ,130, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , ,dry goods, ,Selected
102520,1744,Sloop,Fly,"Crawford, John",7,Spanish Americas,7,"Spanish American Mainland, port unspecified", , , , , ,7,"Departed an American port with slaves, subsequent fate unknown",Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,Prize (unknown place),Kingston (Jamaica), ,1744,Spanish Americas, , , ,Jamaica, ,Jamaica,Non-geographical, , , , , ,20, , , , , , , , , , , , , , ,9/19/1744, , , ,19,9,1744, , ,6,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,"Spanish American Mainland, port unspecified",Other,Great Britain,Great Britain, , , ,"Horlock, Samuel*", , , , , , , , , , , ,"CO 142/15, 49", , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , ,dry goods, ,Selected
102521,1745,Sloop,Diamond,"Ramsay, John",138,Spanish Americas, ,"Spanish American Mainland, port unspecified", , , , , ,132,Voyage completed as intended,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,Bermuda,Kingston (Jamaica),1739,1743,Spanish Americas, , , ,Jamaica, ,Jamaica,Other British Caribbean, , , , , ,25, , , , , , , , , , , , , , ,1/28/1745, , , ,28,1,1745, , ,8,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,"Spanish American Mainland, port unspecified",Other,Great Britain,Great Britain, , , ,Pitts,Manning, , , , , , , , , , ,"CO 142/15, 50,75", , , , ,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , ,dry goods, ,Selected
102522,1745,Schooner,Louisa,"Thresher, Thomas",122,Spanish Americas, ,"Spanish American Mainland, port unspecified", , , , , ,117,Voyage completed as intended,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,"Virginia, port unspecified",Kingston (Jamaica),1742,1744,Spanish Americas, , , ,Jamaica, ,Jamaica,Virginia, , , , , ,5, , , , , , , , , , , , , , ,2/20/1745, , , ,20,2,1745, , ,6,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,"Spanish American Mainland, port unspecified",Other,Great Britain,Great Britain, , , ,"Mendes, Moses*", , , , , , , , , , , ,"CO 142/15, 51,75a", , , , ,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , ,dry goods, ,Selected
102523,1745,Schooner,Charles,"Forrest, David",122,Spanish Americas, ,"Spanish American Mainland, port unspecified", , , , , ,117,Voyage completed as intended,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,Philadelphia,Kingston (Jamaica),1742,1744,Spanish Americas, , , ,Jamaica, ,Jamaica,Pennsylvania, , , , , ,12, , , , , , , , , , , , , , ,2/22/1745, , , ,22,2,1745, , ,6,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,"Spanish American Mainland, port unspecified",Other,Great Britain,Great Britain, , , ,"Forrest, David*", , , , , , , , , , , ,"CO 142/15, 51,75a", , , , ,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1741-45,years 1741-50,years 1726-50,1700, , ,dry goods, ,Selected
